company_name,sector,country,primary_esg_risk,risk_category,summary
TestCo,Tech,India,Labor practices and community impact,Social,TestCo faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
Tata Steel Ltd,Metals & Mining,India,Carbon emissions and resource extraction,Environmental,Tata Steel Ltd faces carbon emissions and resource extraction as its primary ESG concern. Stakeholders should monitor this area closely.
Mahindra & Mahindra,Automobile,India,Labor practices and community impact,Social,Mahindra & Mahindra faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
Asian Paints Ltd,Chemicals & Materials,India,Labor practices and community impact,Social,Asian Paints Ltd faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
Infosys Ltd,Information Technology,India,Data privacy and cybersecurity,Governance,Infosys Ltd faces data privacy and cybersecurity as its primary ESG concern. Stakeholders should monitor this area closely.
NTPC Ltd,Energy & Utilities,India,Carbon emissions and resource extraction,Environmental,NTPC Ltd faces carbon emissions and resource extraction as its primary ESG concern. Stakeholders should monitor this area closely.
Wipro Ltd,Information Technology,India,Data privacy and cybersecurity,Governance,Wipro Ltd faces data privacy and cybersecurity as its primary ESG concern. Stakeholders should monitor this area closely.
Sun Pharmaceutical,Pharmaceuticals,India,Labor practices and community impact,Social,Sun Pharmaceutical faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
ITC Ltd,FMCG & Consumer Goods,India,Labor practices and community impact,Social,ITC Ltd faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
JSW Steel Ltd,Metals & Mining,India,Carbon emissions and resource extraction,Environmental,JSW Steel Ltd faces carbon emissions and resource extraction as its primary ESG concern. Stakeholders should monitor this area closely.
Larsen & Toubro,Construction & Engineering,India,Labor practices and community impact,Social,Larsen & Toubro faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
Bajaj Auto Ltd,Automobile,India,Labor practices and community impact,Social,Bajaj Auto Ltd faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
Dr Reddys Laboratories,Pharmaceuticals,India,Labor practices and community impact,Social,Dr Reddys Laboratories faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
HCL Technologies,Information Technology,India,Data privacy and cybersecurity,Governance,HCL Technologies faces data privacy and cybersecurity as its primary ESG concern. Stakeholders should monitor this area closely.
Adani Green Energy,Energy & Utilities,India,Carbon emissions and resource extraction,Environmental,Adani Green Energy faces carbon emissions and resource extraction as its primary ESG concern. Stakeholders should monitor this area closely.
UltraTech Cement,Chemicals & Materials,India,Labor practices and community impact,Social,UltraTech Cement faces labor practices and community impact as its primary ESG concern. Stakeholders should monitor this area closely.
